Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_Excel,Chrome 121.0.0.0,,,07-02-2024 11:36:07,07-02-2024 11:36:40,32.779s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 121.0.0.0,,,07-02-2024 11:36:07,07-02-2024 11:36:40,32.549s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 11:36:07,07-02-2024 11:36:09,1.785s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 11:36:09,07-02-2024 11:36:11,2.256s,PASSED
"click(findTestObject(""Object Repository/Amazon_repo/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Chrome 121.0.0.0,,,07-02-2024 11:36:11,07-02-2024 11:36:13,1.847s,PASSED
"setText(findTestObject(""Object Repository/Amazon_repo/Page_Amazon Sign In/input_Email or mobile phone number_email""), ""6301750598"")",Chrome 121.0.0.0,,,07-02-2024 11:36:13,07-02-2024 11:36:15,1.670s,PASSED
"click(findTestObject(""Object Repository/Amazon_repo/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,07-02-2024 11:36:15,07-02-2024 11:36:16,1.188s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_repo/Page_Amazon Sign In/input_Forgot Password_password""), ""xEk6gq7KXchQHZOl9kdsgg=="")",Chrome 121.0.0.0,,,07-02-2024 11:36:16,07-02-2024 11:36:18,1.912s,PASSED
"click(findTestObject(""Object Repository/Amazon_repo/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,07-02-2024 11:36:18,07-02-2024 11:36:39,21.232s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 11:36:39,07-02-2024 11:36:40,0.335s,PASSED
