Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_TestListener,Chrome 121.0.0.0,,,07-02-2024 12:33:05,07-02-2024 12:34:05,1m - 0.542s,ERROR
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 121.0.0.0,,,07-02-2024 12:33:54,07-02-2024 12:34:05,11.000s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,07-02-2024 12:33:54,07-02-2024 12:33:57,2.824s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 12:33:57,07-02-2024 12:33:58,0.944s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 12:33:58,07-02-2024 12:34:00,2.183s,PASSED
"click(findTestObject(""Object Repository/Amazon_repo/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Chrome 121.0.0.0,,,07-02-2024 12:34:00,07-02-2024 12:34:02,1.642s,PASSED
"setText(findTestObject(""Object Repository/Amazon_repo/Page_Amazon Sign In/input_Email or mobile phone number_email""), username)",Chrome 121.0.0.0,,,07-02-2024 12:34:02,07-02-2024 12:34:04,2.024s,PASSED
"click(findTestObject(""Object Repository/Amazon_repo/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,07-02-2024 12:34:04,07-02-2024 12:34:05,0.886s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_repo/Page_Amazon Sign In/input_Forgot Password_password""), password)",Chrome 121.0.0.0,,,07-02-2024 12:34:05,07-02-2024 12:34:05,0.213s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,07-02-2024 12:34:05,07-02-2024 12:34:05,0.239s,PASSED
